date,lag_1,lag_7,roll_mean_7,day_of_week,month,y_next_day
2025-09-05,53.9,17.0,38.528571428571425,4,9,30.3
2025-09-06,51.9,23.0,43.51428571428572,5,9,40.6
2025-09-07,30.3,25.5,44.55714285714286,6,9,50.0
2025-09-08,40.6,49.3,46.714285714285715,0,9,37.2
2025-09-09,50.0,51.9,46.81428571428571,1,9,27.6
2025-09-10,37.2,49.1,44.714285714285715,2,9,37.9
2025-09-11,27.6,53.9,41.642857142857146,3,9,20.4
2025-09-12,37.9,51.9,39.357142857142854,4,9,31.4
2025-09-13,20.4,30.3,34.857142857142854,5,9,40.9
2025-09-14,31.4,40.6,35.01428571428571,6,9,32.2
2025-09-15,40.9,50.0,35.05714285714286,0,9,42.7
2025-09-16,32.2,37.2,32.51428571428571,1,9,38.6
2025-09-17,42.7,27.6,33.3,2,9,77.5
2025-09-18,38.6,37.9,34.871428571428574,3,9,49.3
2025-09-19,77.5,20.4,40.528571428571425,4,9,49.8
2025-09-20,49.3,31.4,44.65714285714286,5,9,45.9
2025-09-21,49.8,40.9,47.285714285714285,6,9,44.7
2025-09-22,45.9,32.2,48.0,0,9,50.7
2025-09-23,44.7,42.7,49.785714285714285,1,9,38.9
2025-09-24,50.7,38.6,50.92857142857143,2,9,56.7
2025-09-25,38.9,77.5,50.971428571428575,3,9,39.6
2025-09-26,56.7,49.3,48.0,4,9,48.2
2025-09-27,39.6,49.8,46.614285714285714,5,9,37.6
2025-09-28,48.2,45.9,46.385714285714286,6,9,38.7
2025-09-29,37.6,44.7,45.199999999999996,0,9,31.3
2025-09-30,38.7,50.7,44.34285714285715,1,9,33.8
2025-10-01,31.3,38.9,41.57142857142858,2,10,29.4
2025-10-02,33.8,56.7,40.84285714285714,3,10,34.7
2025-10-03,29.4,39.6,36.94285714285714,4,10,25.8
2025-10-04,34.7,48.2,36.24285714285715,5,10,58.2
2025-10-05,25.8,37.6,33.04285714285714,6,10,65.5
2025-10-06,58.2,38.7,35.98571428571429,0,10,62.2
2025-10-07,65.5,31.3,39.81428571428571,1,10,50.0
2025-10-08,62.2,33.8,44.228571428571435,2,10,38.9
2025-10-09,50.0,29.4,46.542857142857144,3,10,51.7
2025-10-10,38.9,34.7,47.9,4,10,46.0
2025-10-11,51.7,25.8,50.32857142857143,5,10,47.0
2025-10-12,46.0,58.2,53.214285714285715,6,10,47.0
2025-10-13,47.0,65.5,51.61428571428571,0,10,38.2
2025-10-14,47.0,62.2,48.97142857142857,1,10,52.7
2025-10-15,38.2,50.0,45.542857142857144,2,10,43.7
2025-10-16,52.7,38.9,45.92857142857143,3,10,45.7
2025-10-17,43.7,51.7,46.614285714285714,4,10,41.8
2025-10-18,45.7,46.0,45.75714285714286,5,10,47.1
2025-10-19,41.8,47.0,45.15714285714286,6,10,56.8
2025-10-20,47.1,47.0,45.17142857142858,0,10,38.8
2025-10-21,56.8,38.2,46.57142857142857,1,10,35.9
2025-10-22,38.8,52.7,46.65714285714285,2,10,20.4
2025-10-23,35.9,43.7,44.25714285714286,3,10,8.63
2025-10-24,20.4,45.7,40.92857142857143,4,10,12.5
2025-10-25,8.63,41.8,35.63285714285714,5,10,13.6
2025-10-26,12.5,47.1,31.447142857142858,6,10,16.5
2025-10-27,13.6,56.8,26.661428571428566,0,10,19.2
2025-10-28,16.5,38.8,20.904285714285713,1,10,20.8
2025-10-29,19.2,35.9,18.104285714285712,2,10,9.53
2025-10-30,20.8,20.4,15.947142857142856,3,10,13.3
2025-10-31,9.53,8.63,14.394285714285715,4,10,16.7
2025-11-01,13.3,12.5,15.061428571428573,5,11,19.2
2025-11-02,16.7,13.6,15.661428571428571,6,11,21.3
2025-11-03,19.2,16.5,16.46142857142857,0,11,11.9
2025-11-04,21.3,19.2,17.147142857142857,1,11,21.9
2025-11-05,11.9,20.8,16.104285714285716,2,11,8.6
2025-11-06,21.9,9.53,16.26142857142857,3,11,13.4
2025-11-07,8.6,13.3,16.128571428571426,4,11,9.6
2025-11-08,13.4,16.7,16.142857142857142,5,11,8.01
2025-11-09,9.6,19.2,15.12857142857143,6,11,11.5
2025-11-10,8.01,21.3,13.530000000000001,0,11,10.5
2025-11-11,11.5,11.9,12.129999999999999,1,11,13.5
2025-11-12,10.5,21.9,11.929999999999998,2,11,7.74
2025-11-13,13.5,8.6,10.73,3,11,6.97
2025-11-14,7.74,13.4,10.607142857142858,4,11,29.7
2025-11-15,6.97,9.6,9.688571428571427,5,11,10.7
2025-11-16,29.7,8.01,12.56,6,11,11.0
2025-11-17,10.7,11.5,12.944285714285712,0,11,16.4
2025-11-18,11.0,10.5,12.872857142857141,1,11,20.3
2025-11-19,16.4,13.5,13.715714285714284,2,11,7.75
2025-11-20,20.3,7.74,14.687142857142856,3,11,4.68
2025-11-21,7.75,6.97,14.688571428571427,4,11,16.0
2025-11-22,4.68,29.7,14.361428571428572,5,11,15.5
2025-11-23,16.0,10.7,12.404285714285715,6,11,3.76
2025-11-24,15.5,11.0,13.09,0,11,13.0
2025-11-25,3.76,16.4,12.055714285714284,1,11,17.5
2025-11-26,13.0,20.3,11.569999999999999,2,11,3.69
2025-11-27,17.5,7.75,11.17,3,11,2.75
2025-11-28,3.69,4.68,10.590000000000002,4,11,13.6
2025-11-29,2.75,16.0,10.314285714285715,5,11,26.1
2025-11-30,13.6,15.5,9.971428571428572,6,11,10.6
2025-12-01,26.1,3.76,11.485714285714286,0,12,28.6
2025-12-02,10.6,13.0,12.462857142857144,1,12,42.1
2025-12-03,28.6,17.5,14.691428571428572,2,12,30.4
2025-12-04,42.1,3.69,18.205714285714286,3,12,19.3
2025-12-05,30.4,2.75,22.021428571428572,4,12,24.9
2025-12-06,19.3,13.6,24.385714285714283,5,12,29.1
2025-12-07,24.9,26.1,26.0,6,12,17.5
2025-12-08,29.1,10.6,26.428571428571427,0,12,27.5
2025-12-09,17.5,28.6,27.414285714285715,1,12,37.4
2025-12-10,27.5,42.1,27.257142857142856,2,12,33.6
2025-12-11,37.4,30.4,26.585714285714285,3,12,25.8
2025-12-12,33.6,19.3,27.04285714285714,4,12,22.8
2025-12-13,25.8,24.9,27.97142857142857,5,12,9.5
2025-12-14,22.8,29.1,27.67142857142857,6,12,2.26
2025-12-15,9.5,17.5,24.871428571428574,0,12,1.81
2025-12-16,2.26,27.5,22.694285714285716,1,12,4.16
2025-12-17,1.81,37.4,19.024285714285718,2,12,11.2
2025-12-18,4.16,33.6,14.275714285714287,3,12,12.9
2025-12-19,11.2,25.8,11.075714285714286,4,12,11.7
2025-12-20,12.9,22.8,9.232857142857142,5,12,19.4
2025-12-21,11.7,9.5,7.647142857142858,6,12,35.4
2025-12-22,19.4,2.26,9.061428571428571,0,12,50.5
2025-12-23,35.4,1.81,13.795714285714284,1,12,32.0
2025-12-24,50.5,4.16,20.75142857142857,2,12,24.0
2025-12-25,32.0,11.2,24.728571428571428,3,12,23.6
2025-12-26,24.0,12.9,26.557142857142853,4,12,4.0
2025-12-27,23.6,11.7,28.08571428571429,5,12,16.5
2025-12-28,4.0,19.4,26.985714285714284,6,12,13.0
2025-12-29,16.5,35.4,26.571428571428573,0,12,21.3
2025-12-30,13.0,50.5,23.371428571428574,1,12,40.8
2025-12-31,21.3,32.0,19.2,2,12,17.9
2026-01-01,40.8,24.0,20.457142857142856,3,1,12.2
2026-01-02,17.9,23.6,19.585714285714285,4,1,8.97
2026-01-03,12.2,4.0,17.957142857142856,5,1,32.1
2026-01-04,8.97,16.5,18.667142857142856,6,1,48.5
2026-01-05,32.1,13.0,20.895714285714284,0,1,40.6
2026-01-06,48.5,21.3,25.967142857142854,1,1,47.0
2026-01-07,40.6,40.8,28.724285714285713,2,1,15.0
2026-01-08,47.0,17.9,29.610000000000003,3,1,8.79
2026-01-09,15.0,12.2,29.195714285714285,4,1,11.4
2026-01-10,8.79,8.97,28.708571428571428,5,1,7.89
2026-01-11,11.4,32.1,29.055714285714288,6,1,22.7
2026-01-12,7.89,48.5,25.59714285714286,0,1,9.9
2026-01-13,22.7,40.6,21.911428571428576,1,1,11.2
2026-01-14,9.9,47.0,17.525714285714283,2,1,10.9
2026-01-15,11.2,15.0,12.411428571428573,3,1,21.6
2026-01-16,10.9,8.79,11.825714285714284,4,1,29.9
2026-01-17,21.6,11.4,13.655714285714286,5,1,21.5
2026-01-18,29.9,7.89,16.298571428571428,6,1,38.5
2026-01-19,21.5,22.7,18.24285714285714,0,1,19.2
2026-01-20,38.5,9.9,20.5,1,1,9.86
2026-01-21,19.2,11.2,21.828571428571426,2,1,14.3
2026-01-22,9.86,10.9,21.63714285714286,3,1,28.0
2026-01-23,14.3,21.6,22.122857142857146,4,1,38.4
2026-01-24,28.0,29.9,23.037142857142857,5,1,45.9
2026-01-25,38.4,21.5,24.25142857142857,6,1,53.8
2026-01-26,45.9,38.5,27.737142857142857,0,1,43.0
2026-01-27,53.8,19.2,29.92285714285714,1,1,35.3
2026-01-28,43.0,9.86,33.32285714285714,2,1,25.4
